Season,Team,Polls_Ranked_Top25,Polls_Ranked_Top10,Total_Polls_This_Season
2026,Arkansas,1,1,1
2026,BYU,1,0,1
2026,Baylor,1,0,1
2026,Boise State,1,0,1
2026,California,1,1,1
2026,Colorado,1,1,1
2026,Delaware,1,0,1
2026,Indiana,1,0,1
2026,LSU,1,1,1
2026,Louisville,1,0,1
2026,Miami,1,1,1
2026,Michigan,1,1,1
2026,Michigan State,1,0,1
2026,Missouri,1,0,1
2026,Ohio State,1,1,1
2026,Oklahoma,1,0,1
2026,Oklahoma State,1,0,1
2026,Oregon,1,0,1
2026,Pittsburgh,1,1,1
2026,SMU,1,1,1
2026,South Carolina,1,1,1
2026,Temple,1,0,1
2026,Texas A&M,1,0,1
2026,USC,1,0,1
2026,Virginia,1,0,1
